,1
707,赞佩 
708,赞赏 
709,赞颂 
710,赞叹 
711,赞同 
712,赞羡 
713,赞许 
714,赞扬 
715,赞誉 
716,沾沾自喜 
717,照准 
718,折服 
719,珍 
720,珍爱 
721,珍视 
722,珍惜 
723,珍重 
724,正中下怀 
725,支持 
726,知冷知热 
727,知冷着热 
728,知足 
729,指靠 
730,指望 
731,志愿 
732,挚爱 
733,致贺 
734,致敬 
735,致谢 
736,中意 
737,钟 
738,钟爱 
739,钟情 
740,重 
741,重视 
742,重在 
743,瞩目 
744,瞩望 
745,主持 
746,注 
747,注意 
748,注重 
749,祝 
750,祝福 
751,祝贺 
752,祝颂 
753,祝愿 
754,抓 
755,抓紧 
756,准 
757,准许 
758,准予 
759,着迷 
760,着想 
761,着眼 
762,着眼于 
763,自得 
764,自得其乐 
765,自告奋勇 
766,自满 
767,自鸣得意 
768,自认 
769,自愿 
770,自足 
771,宗仰 
772,醉心 
773,尊 
774,尊崇 
775,尊敬 
776,尊重 
777,傧 
778,佥同 
779,跂望 
780,讴歌 
781,谒 
782,哿 
783,埽 
784,萦念 
785,揄扬 
786,叩 
787,叩拜 
788,叩首 
789,叩头 
790,哙 
791,啧啧称羡 
792,啧啧称赞 
793,喁 
794,嗟 
795,醊 
796,徼 
797,夤 
798,饫 
799,廑 
800,忮 
801,忭 
802,忭跃 
803,怏然自足 
804,怿 
805,怡然自得 
806,恺 
807,悚 
808,惬 
809,惬意 
810,慊 
811,憧憬 
812,迓 
813,嬖 
814,绻 
815,觊 
816,觊觎 
817,犒 
818,犒劳 
819,犒赏 
820,胪 
821,歆 
822,歆慕 
823,歆羡 
824,祀 
825,祗 
826,眄 
827,顒 
828,锺 
829,鹄望 
830,翊戴 
831,裣衽 
832,酹 
833,雩 
834,傒倖 
835,忷 
836,恟 
837,懆懆 
838,搥胸顿足 
839,哀 
840,哀哀切切 
841,哀愁 
842,哀怜 
843,哀悯 
844,哀戚 
845,哀凄 
846,哀切 
847,哀伤 
848,哀痛 
849,哀痛欲绝 
850,哀怨 
851,哀恸 
852,哀矜 
853,傲视 
854,懊 
855,懊恨 
856,懊悔 
857,懊恼 
858,懊丧 
859,百无聊赖 
860,败兴 
861,板脸 
862,板面孔 
863,板起脸 
864,板着脸 
865,板着面孔 
866,半信半疑 
867,睖睁 
868,薄 
869,抱不平 
870,抱憾 
871,抱憾终身 
872,抱恨 
873,抱恨终生 
874,抱恨终天 
875,抱疚 
876,抱愧 
877,抱歉 
878,抱怨 
879,暴跳 
880,暴跳如雷 
881,杯弓蛇影 
882,悲 
883,悲哀 
884,悲愁 
885,悲观失望 
886,悲悯 
887,悲戚 
888,悲凄 
889,悲切 
890,悲切切 
891,悲伤 
892,悲酸 
893,悲天悯人 
894,悲痛 
895,悲痛欲绝 
896,悲怆 
897,悲恸 
898,悲恻 
899,背包袱 
900,绷 
901,绷脸 
902,绷着脸 
903,鼻酸 
904,鄙 
905,鄙薄 
906,鄙贱 
907,鄙弃 
908,鄙视 
909,鄙夷 
910,鞭挞 
911,贬斥 
912,变脸 
913,变色 
914,变心 
915,表示坏情感 
916,憋 
917,憋得慌 
918,憋闷 
919,憋气 
920,憋屈 
921,憋着一肚子气 
922,勃然大怒 
923,驳难 
924,驳议 
925,不待见 
926,不甘 
927,不甘心 
928,不顾 
929,不过意 
930,不寒而栗 
931,不好过 
932,不好意思 
933,不快 
934,不落忍 
935,不满 
936,不满意 
937,不满足 
938,不念旧恶 
939,不平 
940,不容 
941,不是味儿 
942,不是滋味 
943,不是滋味儿 
944,不爽 
945,不死心 
946,不同意 
947,不闻不问 
948,不屑 
949,不屑一顾 
950,不屑于 
951,不以为然 
952,不愿 
953,不愿意 
954,不悦 
955,不赞成 
956,不赞同 
957,不忠 
958,不忠诚 
959,怖 
960,猜忌 
961,猜嫌 
962,猜疑 
963,惭 
964,惭惶 
965,惭愧 
966,惨痛 
967,仓皇失措 
968,藏奸 
969,操心 
970,诧 
971,诧异 
972,诧愕 
973,嘲骂 
974,嘲谑 
975,沉闷 
976,沉痛 
977,沉吟 
978,沉郁 
979,沉重 
980,诚惶诚恐 
981,吃不准 
982,吃错药 
983,吃后悔药 
984,痴愣 
985,持异议 
986,迟疑 
987,迟疑不决 
988,耻骂 
989,斥 
990,斥骂 
991,斥责 
992,踌躇 
993,踌躇不决 
994,踌躇不前 
995,愁 
996,愁惨 
997,愁肠百结 
998,愁眉不展 
999,愁眉紧锁 
1000,愁眉苦脸 
1001,愁眉锁眼 
1002,愁闷 
1003,愁容满面 
1004,仇恨 
1005,仇视 
1006,臭骂 
1007,出气 
1008,出神 
1009,吹胡子瞪眼 
1010,捶胸顿足 
1011,垂怜 
1012,垂头丧气 
1013,戳壁脚 
1014,戳脊梁骨 
1015,刺打 
1016,蹿火 
1017,错愕 
1018,打骂 
1019,打入冷宫 
1020,打入十八层地狱 
1021,打问号 
1022,打怵 
1023,打憷 
1024,大吃一惊 
1025,大跌眼镜 
1026,大动肝火 
1027,大发雷霆 
1028,大惊失色 
1029,大骂 
1030,大失所望 
1031,呆 
1032,呆若木鸡 
1033,呆怔 
1034,呆滞 
1035,呆住 
1036,呆愣愣 
1037,贷 
1038,担惊受怕 
1039,担心 
1040,担忧 
1041,胆颤心惊 
1042,胆寒 
1043,胆战心惊 
1044,惮 
1045,当紧 
1046,当头棒喝 
1047,得饶人处且饶人 
1048,等不及 
1049,等闲视之 
1050,瞪眼 
1051,低沉 
1052,低落 
1053,敌视 
1054,惦 
1055,惦挂 
1056,惦记 
1057,惦念 
1058,掉魂 
1059,掉以轻心 
1060,跌眼镜 
1061,动肝火 
1062,动火 
1063,动怒 
1064,动气 
1065,动摇 
1066,恫 
1067,斗 
1068,斗争 
1069,堵 
1070,堵得慌 
1071,堵心 
1072,断肠 
1073,断魂 
1074,顿生疑窦 
1075,顿足捶胸 
1076,多虑 
1077,多有微词 
1078,恶 
1079,恶骂 
1080,扼腕 
1081,耳热 
1082,发愁 
1083,发呆 
1084,发狠 
1085,发火 
1086,发急 
1087,发牢骚 
1088,发毛 
1089,发怒 
1090,发脾气 
1091,发怔 
1092,发指 
1093,发作 
1094,发怵 
1095,发愣 
1096,发憷 
1097,发飙 
1098,翻然悔悟 
1099,烦 
1100,烦愁 
1101,烦闷 
1102,烦恼 
1103,烦腻 
1104,烦扰 
1105,烦神 
1106,烦厌 
1107,烦忧 
1108,烦躁 
1109,反唇相讥 
1110,反感 
1111,犯愁 
1112,犯急 
1113,犯难 
1114,犯疑心病 
1115,犯怵 
1116,犯憷 
1117,非常悲哀 
1118,非难 
1119,非议 
1120,费精神 
1121,费神 
1122,忿忿 
1123,忿忿不平 
1124,忿忿然 
1125,忿恨 
1126,忿怒 
1127,忿恚 
1128,忿懑 
1129,愤愤 
1130,愤愤不平 
1131,愤愤然 
1132,愤恨 
1133,愤怒 
1134,愤世嫉俗 
1135,愤懑 
1136,讽 
1137,讽刺 
1138,付之一笑 
1139,负疚 
1140,负气 
1141,肝肠寸断 
1142,感伤 
1143,给 ... 当头棒喝 
1144,给 ... 一点颜色看看 
1145,攻击 
1146,骨鲠在喉 
1147,顾忌 
1148,顾虑 
1149,顾虑重重 
1150,顾念 
1151,寡欢 
1152,挂 
1153,挂怀 
1154,挂火 
1155,挂记 
1156,挂虑 
1157,挂念 
1158,挂牵 
1159,挂心 
1160,怪 
1161,怪罪 
1162,光火 
1163,过不去 
1164,过分操心 
1165,过虑 
1166,过意不去 
1167,害怕 
1168,害羞 
1169,害臊 
1170,骇 
1171,骇怪 
1172,骇惧 
1173,骇怕 
1174,骇然失色 
1175,骇异 
1176,骇愕 
1177,含悲 
1178,含愤 
1179,含恨 
1180,含怒 
1181,含沙射影 
1182,含羞 
1183,含怨 
1184,涵容 
1185,寒 
1186,寒心 
1187,憾 
1188,悍然不顾 
1189,汗颜 
1190,毫不在乎 
1191,呵 
1192,呵斥 
1193,呵责 
1194,呵叱 
1195,喝斥 
1196,喝叱 
1197,恨 
1198,恨入骨髓 
1199,恨铁不成钢 
1200,恨之入骨 
1201,红脸 
1202,红眼 
1203,猴儿急 
1204,后顾之忧 
1205,后悔 
1206,后悔莫及 
1207,后怕 
1208,忽略 
1209,忽视 
1210,狐疑不决 
1211,虎着脸 
1212,怀恨 
1213,怀恨在心 
1214,怀疑 
1215,坏情 
1216,患 
1217,荒 
1218,荒废 
1219,慌恐 
1220,皇皇 
1221,惶 
1222,惶惶 
1223,惶惶不安 
1224,惶惶不可终日 
1225,惶惶然 
1226,惶惑 
1227,惶惧 
1228,惶恐 
1229,惶恐不安 
1230,惶然 
1231,惶然不安 
1232,惶悚 
1233,惶遽 
1234,灰溜溜 
1235,灰头灰脸 
1236,灰头土脸 
1237,灰心 
1238,灰心丧气 
1239,回头 
1240,悔 
1241,悔不当初 
1242,悔不该 
1243,悔恨 
1244,悔悟 
1245,悔之不及 
1246,悔之晚矣 
1247,悔之无及 
1248,魂不附体 
1249,魂飞魄散 
1250,魂飞天外 
1251,火 
1252,火急火燎 
1253,火冒三丈 
1254,火烧火燎 
1255,火头上 
1256,饥不择食 
1257,激愤 
1258,讥嘲 
1259,讥刺 
1260,讥讽 
1261,讥讪 
1262,讥诮 
1263,鸡蛋里挑骨头 
1264,极度悲哀 
1265,极度悲伤 
1266,急巴巴 
1267,急急巴巴 
1268,急死 
1269,急眼 
1270,疾 
1271,嫉恨 
1272,悸栗 
1273,忌 
1274,忌惮 
1275,忌恨 
1276,见怪 
1277,见罪 
1278,将心比心 
1279,将信将疑 
1280,焦愁 
1281,焦急 
1282,焦虑 
1283,焦心 
1284,焦炙 
1285,焦灼 
1286,娇羞 
1287,教训 
1288,叫苦 
1289,叫苦不迭 
1290,叫苦连天 
1291,叫骂 
1292,叫嚣 
1293,解气 
1294,借古讽今 
1295,介怀 
1296,介意 
1297,进退两难 
1298,进退维谷 
1299,惊 
1300,惊怖 
1301,惊诧 
1302,惊呆 
1303,惊怪 
1304,惊骇 
1305,惊慌 
1306,惊慌失措 
1307,惊惶 
1308,惊惧 
1309,惊恐 
1310,惊怕 
1311,惊奇 
1312,惊奇不已 
1313,惊叹 
1314,惊讶 
1315,惊疑 
1316,惊异 
1317,惊悚 
1318,惊愕 
1319,窘 
1320,窘迫 
1321,揪心 
1322,疚愧 
1323,拘束 
1324,举棋不定 
1325,沮 
1326,沮丧 
1327,惧 
1328,惧怕 
1329,眷顾 
1330,觉得自己理亏 
1331,绝望 
1332,开炮 
1333,看扁 
1334,看不惯 
1335,看不开 
1336,看不起 
1337,看不上 
1338,看不上眼 
1339,看不顺眼 
1340,看淡 
1341,看低 
1342,看轻 
1343,抗议 
1344,苛察 
1345,苛责 
1346,可怜 
1347,可惜 
1348,恐 
1349,恐慌 
1350,恐惧 
1351,口诛笔伐 
1352,哭丧着脸 
1353,哭笑不得 
1354,苦闷 
1355,苦恼 
1356,苦涩 
1357,宽贷 
1358,宽假 
1359,宽免 
1360,宽赦 
1361,宽恕 
1362,宽宥 
1363,狂怒 
1364,亏心 
1365,愧 
1366,愧对 
1367,愧汗 
1368,愧恨 
1369,愧悔 
1370,愧疚 
1371,愧怍 
1372,愧恧 
1373,愧赧 
1374,困窘 
1375,困迫 
1376,拉不下脸 
1377,拉不下脸来 
1378,拉长个脸 
1379,拉下脸 
1380,拉下脸来 
1381,来火 
1382,来气 
1383,赖 
1384,懒得 
1385,懒洋洋 
1386,劳神 
1387,老羞成怒 
1388,冷嘲热讽 
1389,冷淡 
1390,怜 
1391,怜悯 
1392,怜惜 
1393,怜恤 
1394,脸红脖子粗 
1395,脸红耳热 
1396,脸皮薄 
1397,脸上下不来 
1398,凉 
1399,两难 
1400,亮红灯 
1401,谅 
1402,谅解 
1403,虑 
1404,乱 
1405,乱了方寸 
1406,骂 
1407,骂不绝口 
1408,骂大街 
1409,骂得狗血淋头 
1410,骂得狗血喷头 
1411,骂街 
1412,骂骂咧咧 
1413,骂娘 
1414,骂人 
1415,埋没 
1416,埋汰 
1417,埋怨 
1418,满不在乎 
1419,满脸愁雾 
1420,漫骂 
1421,谩骂 
1422,毛骨悚然 
1423,冒火 
1424,没个好脸 
1425,没精打采 
1426,没意思 
1427,没有好脸 
1428,闷 
1429,闷沉沉 
1430,闷闷 
1431,闷闷不乐 
1432,闷郁 
1433,面斥 
1434,面带怒色 
1435,面带嗔色 
1436,面面相觑 
1437,面如死灰 
1438,面如土色 
1439,面无人色 
1440,面有愧色 
1441,面有难色 
1442,面有愠色 
1443,藐视 
1444,蔑 
1445,蔑视 
1446,民怨沸腾 
1447,悯 
1448,鸣不平 
1449,鸣冤叫屈 
1450,摸不准 
1451,磨不开 
1452,抹不开 
1453,漠然视之 
1454,漠然置之 
1455,漠视 
1456,木然 
1457,目瞪口呆 
1458,纳罕 
1459,难 
1460,难过 
1461,难堪 
1462,难受 
1463,难为情 
1464,恼 
1465,恼恨 
1466,恼火 
1467,恼怒 
1468,恼羞成怒 
1469,闹脾气 
1470,闹情绪 
1471,闹性子 
1472,馁 
1473,内疚 
1474,腻 
1475,腻烦 
1476,腻歪 
1477,腻味 
1478,捏把汗 
1479,捏一把汗 
1480,怒 
1481,怒不可遏 
1482,怒斥 
1483,怒冲冲 
1484,怒发冲冠 
1485,怒喝 
1486,怒火冲天 
1487,怒火中烧 
1488,怒骂 
1489,怒目 
1490,怒气冲冲 
1491,怒气冲天 
1492,怒形于色 
1493,怒叱 
1494,怕 
1495,怕生 
1496,怕羞 
1497,拍案而起 
1498,排揎 
1499,徘徊 
1500,派不是 
1501,旁敲侧击 
1502,抨 
1503,抨击 
1504,批 
1505,批斗 
1506,苶 
1507,皮里阳秋 
1508,屁滚尿流 
1509,偏废 
1510,品头论足 
1511,评头论足 
1512,评头品足 
1513,颇有微词 
1514,破口大骂 
1515,魄散魂飞 
1516,迫不及待 
1517,戚戚 
1518,戚然 
1519,七窍生烟 
1520,凄惶 
1521,凄切 
1522,凄然 
1523,凄酸 
1524,凄婉 
1525,凄怨 
1526,凄恻 
1527,歧视 
1528,骑虎难下 
1529,起疑心 
1530,气 
1531,气昂昂 
1532,气不忿 
1533,气不过 
1534,气不平 
1535,气冲冲 
1536,气冲牛斗 
1537,气短 
1538,气忿 
1539,气忿忿 
1540,气愤 
1541,气愤愤 
1542,气鼓鼓 
1543,气狠狠 
1544,气哼哼 
1545,气呼呼 
1546,气乎乎 
1547,气急败坏 
1548,气恼 
1549,气馁 
1550,气头上 
1551,气汹汹 
